Bearing_No,Rotational_Velocity ,Radial_Load,Axial_Load,Dynamic_Load_Rating,Satic_Load_Ratimg,Limitng_speed,Shaft_Diameter,Bearing_outside_Diameter,Bearing_Width,MIN_Deformation,MAX_Deformation,AVG_Deformation,Deformation_On_Ball_MIN,Deformation_On_Ball_MAX,Deformation_On_Ball_AVG,MIN_Stress,MAX_Stress,AVG_Stress,Stress_On_Ball_MIN,Stress_On_Ball_MAX,Stress_On_Ball_AVG,Frictional_Stress_MIN,Frictional_Stress_MAX,Frictional_Stress_AVG,MIN_Pressure,MAX_Pressure,AVG_Pressure,,,
6003,11029.2,-308.75,133.88,6000,3250,26000,17,35,10,1.11E-03,0.41903,0.22501,1.11E-03,0.41903,0.22501,2.21E-02,54.62,3.745,0.15928,31.052,3.8116,0,8.0313,0.34326,0,80.313,3.7362,,,
6003,11353.55,-318.37,137.87,6000,3250,26000,17,35,10,1.14E-03,0.42268,0.22697,1.14E-03,0.42268,0.22697,2.29E-02,55.786,3.8365,0.15329,30.24,3.6797,0,8.2423,0.35315,0,82.423,3.8351,,,
6003,11677.9,-327.99,141.87,6000,3250,26000,17,35,10,1.13E-03,0.42458,0.22767,1.13E-03,0.42458,0.22767,2.30E-02,56.215,3.8666,0.14137,28.076,3.3679,0,8.2996,0.35632,0,82.996,3.8691,,,
6003,12002.25,-337.6,145.86,6000,3250,26000,17,35,10,1.13E-03,0.42624,0.22789,1.13E-03,0.42624,0.22789,2.32E-02,56.358,3.8769,0.15364,30.263,3.698,0,8.3142,0.35668,0,83.142,3.8806,,,
6003,12326.6,-347.22,149.86,6000,3250,26000,17,35,10,1.13E-03,0.42659,0.22805,1.13E-03,0.42659,0.22805,2.35E-02,56.495,3.8837,0.15934,31.04,3.8105,0,8.3187,0.35677,0,83.187,3.8873,,,
6003,12650.95,-356.84,153.86,6000,3250,26000,17,35,10,1.13E-03,0.42624,0.22799,1.13E-03,0.42624,0.22799,2.35E-02,56.54,3.8818,0.15332,30.237,3.6799,0,8.3198,0.35656,0,83.198,3.8848,,,
6003,12975.3,-366.45,157.85,6000,3250,26000,17,35,10,1.11E-03,0.42658,0.22815,1.11E-03,0.42658,0.22815,2.36E-02,56.509,3.8882,0.14139,28.08,3.369,0,8.3199,0.35662,0,83.199,3.8914,,,
6003,13299.65,-376.07,161.85,6000,3250,26000,17,35,10,1.11E-03,0.42612,0.22806,1.11E-03,0.42612,0.22806,2.36E-02,56.496,3.8853,0.15367,30.266,3.6988,0,8.3197,0.35631,0,83.197,3.8876,,,
6003,13624,-385.69,165.84,6000,3250,26000,17,35,10,1.12E-03,0.42656,0.22817,1.12E-03,0.42656,0.22817,2.36E-02,56.486,3.8907,0.15936,31.041,3.8108,0,8.3194,0.3565,0,83.194,3.8924,,,
6003,13948.35,-395.31,169.84,6000,3250,26000,17,35,10,1.12E-03,0.42614,0.22805,1.12E-03,0.42614,0.22805,2.33E-02,56.473,3.8867,0.15337,30.234,3.6797,0,8.3192,0.35567,0,83.192,3.8875,,,
6003,14272.7,-404.92,173.84,6000,3250,26000,17,35,10,1.16E-03,0.44349,0.23674,1.16E-03,0.44349,0.23674,2.45E-02,62.648,4.3311,0.14142,28.075,3.3686,0,9.0865,0.40501,0,90.865,4.3606,,,
6003,14597.05,-414.54,177.83,6000,3250,26000,17,35,10,1.15E-03,0.43435,0.23095,1.15E-03,0.43435,0.23095,2.50E-02,59.394,4.0223,0.15373,30.26,3.6986,0,8.5459,0.3583,0,85.459,4.0388,,,
6003,14921.4,-424.16,181.83,6000,3250,26000,17,35,10,1.16E-03,0.44785,0.23808,1.16E-03,0.44785,0.23808,2.79E-02,63.463,4.4055,0.15941,31.036,3.811,0,9.233,0.41111,0,92.33,4.4382,,,
6003,15245.75,-433.78,185.82,6000,3250,26000,17,35,10,1.18E-03,0.43494,0.2314,1.18E-03,0.43494,0.2314,2.53E-02,59.723,4.0434,0.15341,30.231,3.6803,0,8.5669,0.35885,0,85.669,4.0592,,,
6003,15570.1,-443.39,189.82,6000,3250,26000,17,35,10,1.17E-03,0.4482,0.23832,1.17E-03,0.4482,0.23832,2.80E-02,63.592,4.4192,0.14145,28.073,3.3693,0,9.2481,0.41227,0,92.481,4.451,,,
6003,15894.45,-453.01,193.82,6000,3250,26000,17,35,10,1.15E-03,0.45466,0.24121,1.15E-03,0.45466,0.24121,2.79E-02,66.11,4.5859,0.15055,29.773,3.623,0,9.472,0.42696,0,94.72,4.6212,,,
6003,16218.8,-462.63,197.81,6000,3250,26000,17,35,10,1.15E-03,0.45512,0.24229,1.15E-03,0.45512,0.24229,2.99E-02,66.165,4.6421,0.15311,30.103,3.6719,0,9.5658,0.43206,0,95.658,4.6808,,,
6003,16543.15,-472.24,201.81,6000,3250,26000,17,35,10,1.20E-03,0.43526,0.23268,1.20E-03,0.43526,0.23268,2.57E-02,60.328,4.1017,0.14668,29.028,3.5086,0,8.6923,0.35248,0,86.923,4.121,,,
6003,16867.5,-481.86,205.8,6000,3250,26000,17,35,10,1.16E-03,0.44887,0.23919,1.16E-03,0.44887,0.23919,2.73E-02,64.32,4.4618,0.13838,26.957,3.2342,0,9.3093,0.40115,0,93.093,4.4964,,,
